id,name,teachers,course_code,semester,program_code,program
130235,"79747_me1010_004107_cq quản lý sản xuất (tn) (me1010)_huỳnh hữu đức (cq_hk252) [l02,l03,l04]",huỳnh hữu đức,me1010,hk252,cq,"l02,l03,l04"
130090,79747_co2014_010865_cq hệ cơ sở dữ liệu (tn) (co2014)_lê đức hoàng nam (cq_hk252) [l02],lê đức hoàng nam,co2014,hk252,cq,l02
131452,"79747_co2040_010859_cq lập trình nâng cao (bt) (co2040)_trần nguyên bảo (cq_hk252) [l01,l02]",trần nguyên bảo,co2040,hk252,cq,"l01,l02"
134503,79747_lcn_gt_002333_clc student class (lcn)_trần đăng long (clc_hk252),trần đăng long,,hk252,clc,
130600,79747_im3059_009956_clc strategic management (im3059)_peter michael saram (clc_hk252) [cc01],peter michael saram,im3059,hk252,clc,cc01
131082,79747_co3038_004339_cq phát triển ứng dụng internetthings (tn (co3038)_phan văn sỹ (cq_hk252) [l04],phan văn sỹ,co3038,hk252,cq,l04
132493,79747_co3086_010914_cq xử lý nn tự nhiên (bt) (co3086)_bùi văn quốc bảo (cq_hk252) [l02],bùi văn quốc bảo,co3086,hk252,cq,l02
130089,"79747_co1028_004321_cq kỹ thuật lập trình (tn) (co1028)_thi khắc quân (cq_hk252) [l11,l15]",thi khắc quân,co1028,hk252,cq,"l11,l15"
131512,79747_me4024_004107_cq điều độ trong chuỗi cung ứng (thí nghiệm) (me4024)_huỳnh hữu đức (cq_hk252) [l02],huỳnh hữu đức,me4024,hk252,cq,l02
134257,"79747_la1009_010580_cq anh văn 4 (la1009)_trương ngọc hân (cq_hk252) [l07,l19]",trương ngọc hân,la1009,hk252,cq,"l07,l19"
134851,79747_lcn_xd_003551_cq lớp chủ nhiệm (lcn)_vũ xuân dũng (cq_hk252),vũ xuân dũng,,hk252,cq,
132548,79747_ci3255_002358_cq thực tập đo vẽ và lập bản đồ địa hình (ci3255)_đặng văn công bằng (cq_hk252) [l01],đặng văn công bằng,ci3255,hk252,cq,l01
130269,79747_ci3004_003428_cq trắc lượng ảnh (tn) (ci3004)_trịnh đình vũ (cq_hk252) [l01],trịnh đình vũ,ci3004,hk252,cq,l01
130807,"79747_ci2001_004357_cq sức bền vật liệu (ci2001)_lê minh toàn (cq_hk252) [a01,l02]",lê minh toàn,ci2001,hk252,cq,"a01,l02"
130859,"79747_ee3002_003785_cq hệ thống cung cấp điện (thí nghiệm) (ee3002)_lê an nhuận (cq_hk252) [l01,l03,l04,l06,l07,l08,l09,l10,l12]",lê an nhuận,ee3002,hk252,cq,"l01,l03,l04,l06,l07,l08,l09,l10,l12"
130520,79747_la2011_004307_cq tiếng nhật chuyên ngành kỹ thuật điện - điện tử - thông tin 2 (la2011)_phạm thị thùy linh (cq_hk252) [a01],phạm thị thùy linh,la2011,hk252,cq,a01
130482,79747_co1004_004305_clc introduction to computer programming (practice) (co1004)_dương đức tín (clc_hk252) [cc02],dương đức tín,co1004,hk252,clc,cc02
131202,"79747_sp1033_004326_clc marxist - leninist political economy (sp1033)_trần thị sen (clc_hk252) [cc03,cc04]",trần thị sen,sp1033,hk252,clc,"cc03,cc04"
130084,"79747_ee3420_003315_clc power electronics (lab) (ee3420)_nguyễn bảo anh (clc_hk252) [cc01,cc03]",nguyễn bảo anh,ee3420,hk252,clc,"cc01,cc03"
