code,name,credit,program,size,language,teacher,dayOfWeek,slot,room,branch,weeks
ge7159,luận án tiến sĩ - phần 3,15,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
as3045,ứng dụng laser trong yh,3,cc01_cc01,19/60,v,trần trung nghĩa,,,,,
as4337,đồ án tốt nghiệp (ckt),4,a01,6/9000,v,nguyễn duy khương,chưa biết,--,------,1,
as4337,đồ án tốt nghiệp (ckt),4,cc01,0/900,v,nguyễn duy khương,chưa biết,--,------,1,
as4337,đồ án tốt nghiệp (ckt),4,l01,12/9000,v,nguyễn duy khương,chưa biết,--,------,2,
as4337,đồ án tốt nghiệp (ckt),4,t01,1/500,v,nguyễn duy khương,chưa biết,--,------,1,
ci6134,luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3,15,ch01,1/200,v,chưa/đang phân công,chưa biết,--,------,1,
ch5653,sản xuất sạch hơn trong công nghiệp,3,ch01,21/60,v,nguyễn thị lê liên,thứ 7,- - - - - - - - - 10 11 12 - - - -,b4-405,1,
me3253,hoạch định mặt bằng,3,cc01_cc01,20/20,v,lê đức đạo,,,,,
me3253,hoạch định mặt bằng,3,cc01_cc02,17/20,v,lê đức đạo,,,,,
me3253,hoạch định mặt bằng,3,cc02_cc03,17/20,v,lê đức đạo,,,,,
me3253,hoạch định mặt bằng,3,cc02_cc04,10/20,v,lê đức đạo,,,,,
me3253,hoạch định mặt bằng,3,l01_l02,20/20,v,lê đức đạo,,,,,
me3253,hoạch định mặt bằng,3,l01_l03,20/20,v,lê đức đạo,,,,,
me3253,hoạch định mặt bằng,3,l02_l04,20/20,v,lê đức đạo,,,,,
me3253,hoạch định mặt bằng,3,l02_l05,18/20,v,lê đức đạo,,,,,
me3253,hoạch định mặt bằng,3,l02_l06,20/20,v,lê đức đạo,,,,,
ci4347,luận văn tốt nghiệp,9,t01,4/500,v,chưa/đang phân công,chưa biết,--,------,1,
ge2059,địachất k/trúc &các ppđc,3,cc01_cc01,10/60,v,mai cao lân,,,,,
ge2059,địachất k/trúc &các ppđc,3,l01_l01,41/60,v,trần anh tú,,,,,
ge2059,địachất k/trúc &các ppđc,3,l02_l02,32/60,v,trần anh tú,,,,,
ma7123,luận án tiến sĩ - phần 3,15,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
me5081,hỗ trợ ra quyết định,3,ch01,32/56,v,hồ thanh phong,chủ nhật,- - - - - - 7 8 9 - - - - - - -,b6-302,1,
ch4145,kiểm nghiệm dược phẩm,3,l01,28/50,v,phan nguyễn quỳnh anh,,,,,
gk5011,đổi mới sáng tạo & khởi nghiệp,3,ch01,60/60,v,phạm đình anh khôi,,,,,
gk5011,đổi mới sáng tạo & khởi nghiệp,3,ch03,80/80,v,phạm đình anh khôi,,,,,
me4109,luận văn tốt nghiệp(cntt,9,t01,0/500,v,nguyễn thị mộng hiền,chưa biết,--,------,1,
ci4317,luận văn tốt nghiệp,9,a01,0/900,v,nguyễn xuân long,chưa biết,--,------,1,
ci4317,luận văn tốt nghiệp,9,cc01,0/900,v,nguyễn xuân long,chưa biết,--,------,1,
ci4317,luận văn tốt nghiệp,9,l01,2/900,v,nguyễn xuân long,chưa biết,--,------,2,
ci4317,luận văn tốt nghiệp,9,t01,1/500,v,nguyễn xuân long,chưa biết,--,------,1,
ma7111,tiểu luận tổng quan,0,ns01,1/200,v,chưa/đang phân công,chưa biết,--,------,1,
co3097,thiết kế vi mạch,3,a01_a01,19/40,v,trần ngọc thịnh,,,,,
